"t_start","t_end","Mean(R)","Std(R)","Quantile.0.025(R)","Quantile.0.05(R)","Quantile.0.25(R)","Median(R)","Quantile.0.75(R)","Quantile.0.95(R)","Quantile.0.975(R)"
19,23,1.67533680727127,0.243766652588567,1.34994350105812,1.3651524764065,1.47426979227626,1.62234604728286,1.86154904781909,2.14396630739824,2.1991853082875
20,24,1.56224985209356,0.236399108898077,1.24827372213303,1.26357301206354,1.36284247005058,1.5114876802103,1.74703765657244,2.019963667641,2.0704260768564
21,25,1.42316967135111,0.190167193479557,1.16731009645416,1.17749927156279,1.26664137388798,1.3841616580326,1.57472137652038,1.78687110566352,1.81965282434635
22,26,1.48557487367385,0.159363583207131,1.26074310479642,1.27292752467876,1.35187967281488,1.45940305865955,1.61389618437083,1.78060511849878,1.80220797972083
23,27,1.53148422887545,0.175519161318932,1.28741479653622,1.2979882671571,1.37985052105098,1.50054653599353,1.68144424240835,1.8519039493264,1.8751557907446
24,28,1.5187042727139,0.187711729747539,1.26324372300307,1.27386360337453,1.35776697805632,1.48490476931485,1.67051109762811,1.87211245943402,1.89903919377414
25,29,1.5535233571595,0.1906814952117,1.29317515904863,1.30305588643417,1.39223971434634,1.5202295201375,1.71109745698862,1.91026934754083,1.94266297871387
26,30,1.5907363372831,0.204426876887928,1.31600448887548,1.32381401747206,1.41606829747647,1.55383355400956,1.75536571912013,1.97818392521722,2.00000985461346
27,31,1.58527613780725,0.21370615497561,1.30288514012692,1.31022672434583,1.40302422588855,1.54398088123025,1.75620536208001,1.99473362112317,2.02203743381567
28,32,1.43600402845411,0.193924198579604,1.17988395563775,1.18605099985465,1.27102046926559,1.3991944678518,1.59215629424138,1.80929775906851,1.8307175659384
29,33,1.27332822534897,0.139438062097912,1.08353964901952,1.0886273275305,1.15432732674858,1.24893901806939,1.38903053609418,1.53234214175641,1.55222027907163
30,34,1.25506825750883,0.0955964209094075,1.11627783036825,1.1221090892732,1.17242358791432,1.24222688872476,1.33500758862475,1.42395397192446,1.4342328980671
31,35,1.26853368982809,0.0859515842151704,1.13904151436626,1.14561129257645,1.19316626587305,1.26073702540269,1.3393469274477,1.41605888992841,1.42568697944386
32,36,1.22610379403631,0.0844294834191993,1.10003735121382,1.10435060242827,1.15243031939809,1.21712234696888,1.30282810303709,1.36830435389246,1.37656973108465
33,37,1.35409529012229,0.0827898085700468,1.23012812115176,1.23512327780199,1.28027493910279,1.34672055321336,1.42561300890888,1.4959718049596,1.50184851792545
34,38,1.48807294454015,0.126148402835255,1.3059541312964,1.31044454239317,1.37620018395571,1.47324058153455,1.59785622230536,1.70893827313878,1.7219555435284
35,39,1.48395693277022,0.167898735332767,1.25481063062879,1.26010401118047,1.34096196296849,1.45728931857879,1.61957068637779,1.79586917537691,1.81902360973976
36,40,1.4144789899669,0.164728060045931,1.19405226714433,1.19804665730944,1.27555860172205,1.38511435575269,1.5465163129104,1.72692583312374,1.74717992756504
37,41,1.37886360173176,0.143436686509795,1.18316089509272,1.18710133379726,1.25638073257004,1.35412643741281,1.49799055750797,1.6476978407891,1.66120902309322
38,42,1.29600125547285,0.123754531348932,1.12360735628345,1.12705844578726,1.19001402241911,1.27453109010861,1.40270421238311,1.51810447415572,1.53927063128846
39,43,1.22407415523108,0.0964726063518652,1.08641976885888,1.08963651159448,1.14016335899469,1.20857474670162,1.30909710288807,1.38886955126761,1.40827963598589
40,44,1.1350245200263,0.0704442034470919,1.03088626248832,1.03356257411778,1.07268437972951,1.12785182784843,1.19550765869277,1.25753208236342,1.26251965518033
41,45,1.11525273419526,0.0459812595988227,1.04453814329449,1.04681833947481,1.07355092695295,1.11522911400276,1.14100837917326,1.19761747039516,1.20568595690748
42,46,1.09313147091062,0.0365831025862825,1.03405455209578,1.03669028424923,1.05968832421383,1.09548083988107,1.11777878420487,1.156779293982,1.16623383559426
43,47,1.03279391228714,0.0281145590281108,0.986633346928291,0.988783592631869,1.0074361653812,1.0361489046572,1.05372651906895,1.08199652530594,1.08982191330611
44,48,1.0026397677059,0.0149625630166784,0.979872481117854,0.981508846660604,0.989793998060823,1.00292045656584,1.0125400928814,1.03196244470388,1.03593552983098
45,49,1.02002007898649,0.0115164369220829,0.997860232731615,1.00015256874321,1.01276373755539,1.01950678612497,1.02839751733131,1.03905165005076,1.04197144491664
46,50,0.975457496989446,0.00856251515461915,0.962336676849358,0.963457167897482,0.968367395603189,0.974341478874319,0.981667316900489,0.991293285432407,0.993484853231859
47,51,0.933891446878826,0.0112563787059979,0.90961290534725,0.911806585976868,0.926205417285912,0.937256062864706,0.942657587718265,0.948314022944507,0.94983125935779
